,mountain_name,mountain_name_en,description
17,내연산,Naeyeon-san,"보경사 12폭포와 삼보폭포가 유명하며, 깊은 계곡과 기암절벽이 어우러지고 가을 단풍이 절경을 이루는 동해안 명산"
18,내장산,Naejang-san,"호남 5대 명산으로 내장사 단풍터널이 절경이며, 우화정과 백양사 등 사찰이 많고 기암괴석과 단풍이 어우러진 불교 성지"
19,대둔산,Daedun-san,"마천대·금강 구름다리와 삼선계단이 유명하며, 기암괴석이 장관이고 케이블카로 접근 가능한 '호남의 소금강' 명산"
20,대암산,Daeam-san,"천연기념물 제246호 용늪 고층습원이 있는 DMZ 접경지역의 청정 산악으로, 생태학적 가치가 높고 자연이 잘 보존된 명산"
21,대야산,Daeya-san,"용추폭포와 피아골 계곡이 아름다우며, 월영대 일출과 구름바다가 장관이고 가을 단풍이 아름다운 문경·괴산 경계 명산"
22,덕숭산,Deoksung-san,"백제 법왕 때 창건된 수덕사가 자리한 불교 성지로, 온화한 산세와 차분한 분위기가 매력적이며 힐링 산행에 적합한 예산 명산"
23,덕유산,Deogyyu-san,"향적봉 일출과 무주구천동이 유명하며, 무주리조트 곤도라로 접근 가능하고 겨울 설경과 사계절 풍광이 아름다운 국립공원"
24,덕항산,Deokhang-san,"두타산과 함께 태백준령의 명산으로, 용소골 계곡과 억새 능선이 아름다우며 청정 자연이 잘 보존된 삼척·태백 경계 산"
25,도락산,Dorak-san,"소백산과 월악산 사이에 위치하며, 온달산성 전설과 구담봉 조망이 뛰어나고 기암괴석이 아름다운 단양팔경의 명산"
26,도봉산,Dobong-san,"북한산 국립공원 일부로 신선대·만장봉 등 기암괴석이 장관이며, 도봉서원과 망월사가 있고 암릉 코스가 스릴 넘치는 서울 북부 명산"
27,두륜산,Duryun-san,"대흥사가 자리한 불교 성지로 해남 땅끝마을과 가까우며, 해풍 맞은 차밭과 표충사가 유명하고 다도해 조망이 아름다운 호남 명산"
28,두타산,Duta-san,"무릉계곡과 베틀바위, 무릉반석이 유명하며, 청옥산과 함께 동해안 명산으로 삼화사와 계곡 풍광이 아름다운 산행지"
29,마니산,Mani-san,"강화도 최고봉으로 단군 전설의 참성단이 있으며, 해돋이 명소와 서해 낙조가 아름답고 역사와 신화가 깃든 성스러운 산"
30,마이산,Mai-san,"암수 두 봉우리가 말귀 모양으로 솟아 있으며, 탑사의 이갑룡 돌탑군이 장관이고 계절마다 다른 이름으로 불리는 신비로운 명산"
31,명성산,Myeongseong-san,"억새 능선과 산정호수가 유명하며, DMZ 접경의 완만한 산행로와 가을 억새 물결이 장관이고 조망이 뛰어난 철원·포천 경계 명산"
32,명지산,Myeongji-san,"경기도 최고봉(1267m)으로 억새평원과 명지계곡이 아름다우며, 가을 억새와 단풍이 장관이고 수도권 대표 산행지로 인기"
33,모악산,Moak-san,"금산사가 자리한 미륵신앙의 성지로, 전주 시내와 만경평야 조망이 뛰어나며 불교 역사가 깃든 호남의 명산"
34,무등산,Mudeung-san,"광주의 진산으로 주상절리 입석대·서석대가 장관이며, 무등산 수박과 왕벚꽃이 유명하고 가을 억새가 아름다운 호남 5대 명산"
35,무학산,Muhak-san,"창원의 진산으로 용지봉에서 바라보는 야경이 아름다우며, 무학 스님 전설이 전해지고 진해만 조망이 뛰어난 명산"
36,미륵산,Mireuk-san,"통영 케이블카로 오를 수 있으며, 한려수도 다도해 조망이 탁월하고 미륵사와 용화사가 있는 해안 전망대 역할의 명산"
37,민주지산,Minjuji-san,"영동 최고봉으로 물한리 계곡과 삼도봉이 유명하며, 충북·전북·경북 3도가 만나는 백두대간 명산이자 울창한 숲길이 아름다운 산"
38,방장산,Bangjang-san,"내장산과 함께 호남정맥 명산으로, 방장산성 유적과 상왕봉 조망이 뛰어나며 가을 억새와 단풍이 아름다운 고창·정읍 경계 산"
39,방태산,Bangtae-san,"자작나무 숲길과 적가리골 단풍이 절경이며, 깊은 계곡과 청정 자연이 잘 보존되어 힐링 산행지로 인기 높은 인제 명산"
40,백덕산,Baekdeok-san,"평창 대표 명산으로 능선 조망이 좋고 완만한 산행로가 있으며, 가을 단풍과 억새가 아름다워 가족 산행지로 적합한 산"
41,백암산,Baegam-san,"백양사가 자리한 불교 성지로 백학봉이 유명하며, 내장산과 함께 호남 단풍 명소로 손꼽히고 계곡이 아름다운 순창·장성 경계 명산"
42,백운산(광양),Baegun-san (Gwangyang),"동백꽃 자생지와 철쭉 군락이 유명하며, 성불사와 백운산 자연휴양림이 있고 호남정맥의 높은 봉우리로 조망이 뛰어난 생태 명산"
43,백운산(정선),Baegun-san (Jeongseon),"하이원리조트와 가까우며, 억새평원과 고랭지 채소밭이 펼쳐지고 고원 지대의 웅장한 풍광이 아름다운 강원도 명산"
44,백운산(포천),Baegun-san (Pocheon),"이동갈비로 유명한 포천에 위치하며, 백운계곡과 울창한 숲길이 아름답고 수도권 근교의 조용한 힐링 산행지로 적합한 산"
45,변산,Byeonsan,"변산반도 국립공원 주봉으로 직소폭포와 내변산 계곡이 유명하며, 채석강과 서해 낙조가 아름다운 해안과 내륙의 조화 명산"
46,북한산,Bukhan-san,"서울의 진산으로 인수봉·백운대·만경대가 유명하며, 북한산성과 도선사 등 사찰이 많고 기암괴석과 조망이 뛰어난 도심 속 명산"
47,비슬산,Biseul-san,"대구 남부의 진산으로 대견사 참꽃 군락지가 장관이며, 대견봉에서 바라보는 대구 시내 조망과 가을 억새가 아름다운 영남 명산"
48,삼악산,Samak-san,"등선폭포와 용화사가 유명하며, 의상대와 흔들바위 등 암봉 미로 코스가 스릴 넘치고 조망이 뛰어난 춘천 대표 명산"
49,서대산,Seodae-san,"월영대와 적벽강 계곡이 아름다우며, 월명암에서 바라보는 조망이 뛰어나고 용바위가 유명한 금산·옥천 경계 명산"
50,선운산,Seonun-san,"선운사와 동백나무 숲이 유명하며, 도솔암 마애불과 낙조대 일몰이 절경이고 꽃무릇과 단풍이 아름다운 고창 명산"
51,설악산,Seorak-san,"한국 대표 명산으로 대청봉·울산바위·권금성이 유명하며, 천불동 계곡과 비룡폭포 등 사계절 빼어난 풍광을 자랑하는 국립공원"
52,성인봉,Seongin-bong,"울릉도 최고봉으로 원시림과 고산식물 군락이 있으며, 맑은 날 독도 조망이 가능하고 신비로운 섬산의 비경을 자랑하는 명산"
53,소백산,Sobaek-san,"철쭉과 억새가 유명하며, 비로봉 일출과 초암사 희방폭포가 있고 백두대간 명산이자 천문대가 있는 별 관측 명소"
54,소요산,Soyo-san,"원효대와 자재암이 유명하며, 가을 단풍과 원효폭포 계곡이 아름답고 등산로가 잘 정비된 경기북부 대표 명산"
55,속리산,Songni-san,"법주사 팔상전과 문장대가 유명하며, 정이품송과 세조 임금 전설이 깃든 불교 성지이자 기암괴석과 단풍이 아름다운 백두대간 명산"
56,신불산,Sinbul-san,"영남알프스 일부로 억새평원과 간월재가 유명하며, 가을 억새 물결과 파래소폭포가 장관이고 조망이 뛰어난 울산 명산"
57,연화산,Yeonhwa-san,"거제·통영을 잇는 조망 명소로, 옥녀봉에서 한려수도와 섬들이 한눈에 보이며 해안 전망대 역할을 하는 아름다운 명산"
58,오대산,Odae-san,"월정사와 상원사가 있는 불교 성지로, 적멸보궁과 전나무 숲길이 유명하며 비로봉 등 백두대간 명산이자 힐링 산행지"
59,오봉산,Obong-san,"춘천호와 파로호 조망이 뛰어나며, 다섯 봉우리가 연이어 솟은 산세가 아름답고 울창한 숲길이 힐링을 주는 춘천·화천 경계 명산"
60,용문산,Yongmun-san,"천연기념물 제30호 천년 은행나무와 용문사가 유명하며, 수도권에서 가까운 경기도 최고 명산이자 가을 단풍이 아름다운 양평 진산"
61,용화산,Yonghwa-san,"파로호 조망이 일품이며, 약수터와 완만한 능선이 있고 춘천호 전망도 뛰어나 힐링 산행에 적합한 화천 대표 명산"
62,운문산,Unmun-san,"운문사와 천문대가 유명하며, 청도 소싸움과 함께 방문할 수 있고 억새와 가을 단풍이 아름다운 영남 명산"
63,운악산,Unak-san,"현등사와 기암괴석이 유명하며, 북한강과 청평호 조망이 뛰어나고 마당바위가 있는 가평·포천 경계 명산"
64,운장산,Unjang-san,"호남정맥 명산으로 억새와 철쭉이 유명하며, 진안고원의 웅장한 산세와 운일암·반일암이 가까운 전북 명산"
65,월악산,Worak-san,"덕주사와 미륵리 마애불이 유명하며, 영봉 조망과 송계계곡·덕주골이 빼어나고 만수봉과 하늘재가 있는 충북 명산"
66,월출산,Wolchul-san,"구름다리와 천황봉 바람재가 유명하며, 기암괴석과 영암 도기·도갑사가 있고 일출 명소로 유명한 호남 명산"
67,유명산,Yumeong-san,"용문산과 함께 경기 명산이며, 유명계곡과 자연휴양림이 있고 억새 능선과 가을 단풍이 아름다운 가평·양평 경계 산행지"
68,응봉산,Eungbong-san,"환선굴과 대금굴이 가까우며, 동해 바다와 울진 조망이 뛰어나고 덕구온천과 연계 가능한 삼척·울진 경계 명산"
69,장안산,Jangan-san,"장수 진산으로 논개 생가와 장안사가 있으며, 덕유산과 연계 산행이 가능하고 억새가 유명한 전북 명산"
70,재약산,Jaeyak-san,"사자평 억새와 능동산 계곡이 유명하며, 영남알프스 주봉 중 하나로 표충사와 얼음골이 가까운 밀양 명산"
71,적상산,Jeoksang-san,"무주 구천동과 적상산성이 유명하며, 안국사와 사고가 있던 역사의 산으로 적상호 전망대가 있는 무주 명산"
72,점봉산,Jeombong-san,"곰배령 야생화와 주목 군락지가 유명하며, 설악산과 연계된 백두대간 명산으로 생태계 보전지역의 청정 산악"
73,조계산,Jogye-san,"송광사와 선암사 두 고찰이 자리한 불교 성지로, 가을 단풍과 차밭이 아름답고 삼청교·장군폭포가 있는 순천 명산"
74,주왕산,Juwang-san,"주산지와 주왕굴·기암폭포가 유명하며, 기암괴석과 단풍이 절경이고 대전사·주왕암이 있는 청송 명산"
75,주흘산,Juheul-san,"문경새재 관문과 연계되며, 조령산과 함께 백두대간 영남대로 관문 역할을 하는 역사의 산이자 문경 새재길"
76,지리산,Jiri-san,"한국 최고 명산으로 천왕봉·노고단·반야봉이 유명하며, 불교와 역사가 깃든 국립공원 1호이자 종주 산행의 성지"
77,지리산(통영),Jiri-san (Tongyeong),"통영 사량도의 지리산으로 섬산의 매력과 다도해 조망이 뛰어나며, 옥녀봉·가마봉 등 기암절벽이 장관인 해상 명산"
78,천관산,Cheongwan-san,"억새평원과 구름다리가 유명하며, 장흥 편백숲 우드랜드와 함께 방문하고 가을 억새 물결이 장관인 호남 명산"
79,천마산,Cheonma-san,"천마산 출렁다리와 수종사가 유명하며, 수도권에서 가까운 가족 산행지로 사랑받고 남양주 전망대 역할을 하는 명산"
80,천성산,Cheonseong-san,"원효암과 화엄벌 습지가 천연기념물이며, 밀양 얼음골과 가까우며 내원사 계곡과 억새가 아름다운 양산 명산"
81,천태산,Cheontae-san,"천태사와 약수터가 유명하며, 영동·금산 경계의 백두대간 산행지로 삼국시대 천태종 발상지 전설이 있는 산"
82,청량산,Cheongnyang-san,"퇴계 이황이 수학한 곳으로 청량사와 기암괴석, 낙동강 조망이 빼어나며 육육봉 12대가 있는 봉화 명산"
83,추월산,Chuwol-san,"메타세쿼이아 가로수길과 용추계곡이 유명하며, 억새와 철쭉이 아름답고 힐링 산행에 적합한 담양·순창 경계 명산"
84,축령산,Chungnyeong-san,"수령 80년 이상 편백나무 숲이 장관이며, 축령산 자연휴양림과 잣나무 숲길이 힐링 산행지로 유명한 남양주·가평 명산"
85,치악산,Chiak-san,"비로봉과 구룡사가 유명하며, 영원사 구룡폭포·세렴폭포 등 계곡이 아름답고 국립공원으로 지정된 원주 진산"
86,칠갑산,Chilgap-san,"천장호 출렁다리와 장곡사가 유명하며, 칠갑산 천문대와 천장호 조망이 뛰어나고 7개 봉우리 전설이 있는 청양 명산"
87,태백산,Taebaek-san,"단군 신앙의 천제단과 일출 명소로 유명하며, 주목 군락지와 금대봉이 있고 민족의 영산으로 불리는 백두대간 명산"
88,태화산,Taehwa-san,"만지강변과 절벽 조망이 일품이며, 만지계곡과 어라연계곡이 아름답고 영월·단양 8경과 연계 가능한 명산"
89,팔공산,Palgong-san,"갓바위 부처와 동화사가 유명하며, 대구·경북의 진산으로 팔공산 케이블카와 빙계계곡이 있는 대표 명산"
90,팔봉산,Palbong-san,"여덟 봉우리와 팔봉산 출렁다리가 유명하며, 홍천강 조망이 뛰어나고 가을 단풍이 아름다운 홍천 명산"
91,팔영산,Palyeong-san,"여덟 봉우리 능선 종주가 유명하며, 다도해 조망이 탁월하고 동백숲과 철쭉이 아름다운 고흥의 해안 명산"
92,한라산,Halla-san,"대한민국 최고봉(1950m)으로 백록담 분화구와 1800여종 식물이 자생하며, 세계자연유산 제주의 상징이자 사계절 아름다운 명산"
93,화악산,Hwanak-san,"수도권 최고 설경 명소이며, 억새평원과 잣나무 숲이 유명하고 가을 단풍과 겨울 설화가 아름다운 가평·화천 명산"
94,화왕산,Hwawang-san,"억새평원과 화왕산성이 유명하며, 창녕 우포늪과 함께 방문하고 가을 억새와 일출이 장관인 창녕 진산"
95,황매산,Hwangmae-san,"철쭉 군락지와 억새평원이 유명하며, 봄 철쭉과 가을 억새가 장관이고 모산재와 황매평전이 있는 합천·산청 명산"
96,황석산,Hwangseok-san,"안의 3경 중 하나로 황석산성과 황석대가 유명하며, 지리산 조망이 뛰어나고 덕유산과 연계 가능한 함양 명산"
97,황악산,Hwangak-san,"직지사가 자리한 불교 성지로 부항댐 조망이 뛰어나며, 김천 진산으로 억새와 가을 단풍이 아름다운 명산"
98,황장산,Hwangjang-san,"황장목 군락지와 황장산성이 유명하며, 문경새재와 가까우며 백두대간 조망이 뛰어난 문경의 역사와 자연이 어우러진 명산"
99,희양산,Huiyang-san,"희양산 봉황대와 공림사지가 유명하며, 각회마을 고가와 연풍성지가 가깝고 문경·괴산 경계의 백두대간 명산"
